,Wall time,Step,Value
0,1716091083.10415,0,0.0
1,1716091263.52993,1000,0.0545082166790962
2,1716091461.443094,3000,0.1277684420347213
3,1716091666.429257,6000,0.1359550058841705
4,1716091865.647768,8000,0.1944137811660766
5,1716092062.105032,10000,0.2108384817838668
6,1716092262.542627,12000,0.2299258410930633
7,1716092465.172417,15000,0.2342773377895355
8,1716092664.850146,17000,0.2541567385196686
9,1716092864.447581,19000,0.2550523579120636
10,1716093060.551984,21000,0.2586733400821686
11,1716093266.914756,23000,0.2630268037319183
12,1716093468.271653,26000,0.2640031278133392
13,1716093670.588289,28000,0.2713305354118347
14,1716093868.40329,30000,0.2789140939712524
15,1716094069.662709,32000,0.2793360352516174
16,1716094268.970554,34000,0.2817854583263397
17,1716094469.898449,37000,0.2831265926361084
18,1716094675.075187,39000,0.3059345185756683
19,1716094869.818482,41000,0.311712771654129
20,1716095070.726893,43000,0.3150430619716644
21,1716095276.018287,45000,0.3153573870658874
22,1716095474.404518,48000,0.3163693845272064
23,1716095673.580854,50000,0.3358766734600067
24,1717073487.04985,51000,0.3378960490226745
25,1717073687.725002,53000,0.3459198772907257
26,1717073888.282482,55000,0.3472556471824646
27,1717074085.326237,58000,0.3490340709686279
28,1717074288.240063,60000,0.3606579601764679
29,1717074489.819414,62000,0.37140953540802
30,1717074686.465375,64000,0.374921053647995
31,1717074890.800346,67000,0.3789379596710205
32,1717075092.475755,69000,0.3830758929252624
33,1717075287.957045,71000,0.3852620124816894
34,1717075491.089079,73000,0.3864719867706299
35,1717075691.922427,75000,0.3884451389312744
36,1717075894.241395,78000,0.3911503255367279
37,1717076094.613657,80000,0.3957240581512451
38,1717076295.652383,82000,0.3983758687973022
39,1717076498.522865,84000,0.4016489386558532
40,1717076702.273024,87000,0.4029687941074371
41,1717076897.168185,89000,0.4071003794670105
42,1717077096.211024,91000,0.410416305065155
43,1717077296.045955,93000,0.4142376780509949
44,1717077497.107646,95000,0.4148428440093994
45,1717077698.06996,97000,0.4151273965835571
46,1716102675.036055,100000,0.4205240309238434
