                                                                                                                             Layer       Input Shape  Parameters
            ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/WeightSharedConvolutionalBoxHead/BoxPredictor/depthwise_kernel:0    (3, 3, 128, 1)        1152
            ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/WeightSharedConvolutionalBoxHead/BoxPredictor/pointwise_kernel:0   (1, 1, 128, 24)        3072
                        ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/WeightSharedConvolutionalBoxHead/BoxPredictor/bias:0              (24)          24
        ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/WeightSharedConvolutionalClassHead/ClassPredictor/depthwise_kernel:0    (3, 3, 128, 1)        1152
        ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/WeightSharedConvolutionalClassHead/ClassPredictor/pointwise_kernel:0   (1, 1, 128, 12)        1536
                    ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/WeightSharedConvolutionalClassHead/ClassPredictor/bias:0              (12)          12
                                 ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_0/depthwise_kernel:0    (3, 3, 128, 1)        1152
                                 ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_0/pointwise_kernel:0  (1, 1, 128, 128)       16384
                        ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_0/BatchNorm/feature_0/gamma:0             (128)         128
                         ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_0/BatchNorm/feature_0/beta:0             (128)         128
                                 ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_1/depthwise_kernel:0    (3, 3, 128, 1)        1152
                                 ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_1/pointwise_kernel:0  (1, 1, 128, 128)       16384
                        ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_1/BatchNorm/feature_0/gamma:0             (128)         128
                         ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_1/BatchNorm/feature_0/beta:0             (128)         128
                                 ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_2/depthwise_kernel:0    (3, 3, 128, 1)        1152
                                 ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_2/pointwise_kernel:0  (1, 1, 128, 128)       16384
